#{"t_start": 1746744840.35109, "env_id": "None"}
r,l,t
87.0,4,559.474961
-325.0,75,561.357514
-340.0,75,562.961024
-21.0,31,563.499205
-340.0,75,565.543205
-340.0,75,567.210189
-90.0,42,568.200707
-118.0,54,569.59641
-330.0,75,571.349053
-320.0,75,572.867283
71.0,8,573.060422
95.0,2,573.086462
-10.0,27,573.844065
-335.0,75,575.848785
-320.0,75,578.011125
-9.0,28,578.819346
87.0,4,578.927673
-320.0,75,580.778269
-141.0,61,582.263286
-310.0,75,584.179028
-49.0,38,585.113417
-47.0,35,586.218654
-305.0,75,588.281519
87.0,4,588.342344
-1.0,26,588.927511
-325.0,75,590.560383
-305.0,75,592.158847
-163.0,64,593.749321
-305.0,75,595.715873
87.0,4,595.892697
87.0,4,595.951278
62.0,9,596.161423
87.0,4,596.29922
37.0,14,596.756507
-315.0,75,598.769077
-115.0,52,600.152434
-315.0,75,602.000335
-330.0,75,603.887616
-204.0,73,605.624549
-305.0,75,607.537447
-310.0,75,609.74742
-315.0,75,611.632347
-315.0,75,613.925759
-6.0,26,614.692538
-320.0,75,616.393039
-310.0,75,618.20668
-305.0,75,620.188351
-325.0,75,621.778455
59.0,11,622.147064
87.0,4,622.279773
87.0,4,622.404444
87.0,4,622.591185
-320.0,75,624.426864
-153.0,64,625.885262
-300.0,75,627.814789
-305.0,75,630.118447
-70.0,42,631.041951
-325.0,75,633.030782
87.0,4,633.122308
-325.0,75,634.757421
95.0,2,634.774659
-146.0,61,635.632522
-207.0,75,637.372365
-305.0,75,639.128945
-315.0,75,640.877458
-173.0,64,642.261554
-300.0,75,643.93647
-310.0,75,645.352622
-310.0,75,647.325543
-305.0,75,649.120463
-305.0,75,650.977151
-310.0,75,652.786289
-305.0,75,654.273676
79.0,6,654.358299
-320.0,75,656.152095
-310.0,75,658.146034
87.0,4,658.330181
-120.0,52,659.497633
-315.0,75,661.338219
46.0,13,661.569654
-300.0,75,665.535313
-300.0,75,667.219073
-300.0,75,668.881569
-300.0,75,670.517428
-300.0,75,672.166031
-300.0,75,674.190834
-305.0,75,675.917268
-105.0,52,677.060632
-310.0,75,679.017767
-315.0,75,680.642945
-330.0,75,682.607872
-94.0,48,683.837857
-310.0,75,685.632895
-305.0,75,687.749567
-300.0,75,689.779429
-15.0,27,690.435174
-198.0,74,692.601619
-310.0,75,694.706407
42.0,14,695.209408
-21.0,28,696.122815
-305.0,75,698.147101
-320.0,75,700.24391
-315.0,75,702.372636
87.0,4,702.483313
-325.0,75,704.615229
-305.0,75,706.766226
-320.0,75,708.484577
-320.0,75,710.5302
-180.0,67,712.866728
-168.0,64,714.346797
-305.0,75,716.480522
-310.0,75,718.472039
-305.0,75,720.748392
-310.0,75,722.619874
-7.0,25,723.150978
-65.0,42,724.146603
-320.0,75,725.813859
-335.0,75,727.46825
87.0,4,727.544924
-315.0,75,729.384584
-98.0,49,730.76431
-310.0,75,733.084488
-310.0,75,734.842977
35.0,17,735.20041
87.0,4,735.312041
-161.0,61,737.203649
-310.0,75,739.478558
-70.0,42,740.48322
43.0,15,740.782379
87.0,4,740.854387
87.0,4,741.024249
-300.0,75,742.880583
-310.0,75,744.579926
-310.0,75,746.222565
87.0,4,746.319818
87.0,4,746.381622
37.0,14,746.739569
-320.0,75,748.773905
-310.0,75,750.836546
-305.0,75,752.443662
50.0,12,752.862673
-305.0,75,754.614882
-305.0,75,756.402962
95.0,2,756.448535
-310.0,75,758.287677
-305.0,75,760.798541
-305.0,75,762.86673
-300.0,75,764.450816
-310.0,75,765.719437
-320.0,75,767.19533
-305.0,75,769.354332
-310.0,75,771.582696
-315.0,75,773.734955
-305.0,75,775.029507
67.0,9,775.262916
-35.0,32,775.822418
43.0,15,776.07109
-305.0,75,778.251014
-315.0,75,779.934261
-315.0,75,781.419061
-305.0,75,783.531051
-310.0,75,785.468711
-310.0,75,787.399653
-315.0,75,789.29679
-315.0,75,791.222641
-300.0,75,793.311968
-300.0,75,795.022621
-305.0,75,796.899614
-310.0,75,799.234288
-305.0,75,801.440133
-188.0,69,803.576994
-310.0,75,805.161439
31.0,18,805.459435
-9.0,28,806.360407
31.0,18,807.005532
-63.0,39,808.245535
-310.0,75,809.808626
-305.0,75,811.732337
-320.0,75,813.811076
-315.0,75,815.975558
-310.0,75,817.334216
-305.0,75,819.033296
-305.0,75,821.476225
-300.0,75,823.063617
71.0,8,823.188807
-315.0,75,825.259616
35.0,17,825.504178
-46.0,36,826.161448
-335.0,75,827.925977
-70.0,42,828.806144
-315.0,75,830.636941
-310.0,75,832.271275
-320.0,75,833.699892
83.0,5,834.058931
-325.0,75,835.926334
-325.0,75,837.799987
71.0,8,837.893517
-305.0,75,839.929727
-83.0,39,840.783993
-61.0,41,841.528552
-310.0,75,843.58705
-310.0,75,845.740063
67.0,9,845.977161
-310.0,75,848.157253
-320.0,75,849.764759
-320.0,75,851.940601
-310.0,75,853.655884
91.0,3,853.801149
-315.0,75,855.562423
-310.0,75,857.834836
51.0,13,858.229779
-310.0,75,859.749124
-85.0,42,860.654537
-310.0,75,862.80581
-13.0,29,863.630488
-150.0,62,865.609413
-315.0,75,867.742495
-315.0,75,870.236367
95.0,2,870.241876
-300.0,75,872.220148
-315.0,75,874.132554
47.0,14,874.429691
-305.0,75,876.752901
-305.0,75,879.061893
-330.0,75,880.815078
-315.0,75,882.710658
87.0,4,882.875355
79.0,6,883.030742
-300.0,75,884.975626
-325.0,75,886.645236
-300.0,75,888.666469
-320.0,75,890.503969
27.0,19,891.040306
-320.0,75,893.277517
-300.0,75,895.447584
-58.0,39,896.316362
-310.0,75,898.153622
-305.0,75,900.328993
-320.0,75,902.672556
-94.0,48,903.906775
-305.0,75,905.53174
-305.0,75,907.206351
-305.0,75,908.592042
-300.0,75,910.015339
-96.0,46,910.607098
-320.0,75,911.896343
-310.0,75,913.386287
91.0,3,913.405305
18.0,20,914.033695
-310.0,75,915.713837
-305.0,75,917.460095
-305.0,75,918.736403
-305.0,75,920.114237
27.0,19,920.721554
-320.0,75,923.293551
-310.0,75,924.993826
-300.0,75,926.32635
-300.0,75,927.709347
-300.0,75,928.820719
-300.0,75,929.533694
-300.0,75,930.298336
-305.0,75,932.904612
